year, mo, region, N_extent,   N_area,region,S_extent,S_area,Total_extent,Total_area
1987,12,      N,-9999,-9999,S,-9999,-9999,-19998,-19998
1988,1,      N,-9999,-9999,S,-9999,-9999,-19998,-19998
2012,9,      N,3.57,2.41,S,19.21,15.41,22.78,17.82
2020,9,      N,4,2.83,S,18.84,15.09,22.84,17.92
2007,9,      N,4.27,2.82,S,18.86,15.39,23.13,18.21
2019,9,      N,4.36,3.17,S,18.33,14.6,22.69,17.77
2016,9,      N,4.53,2.91,S,18.15,13.86,22.68,16.77
2011,9,      N,4.56,3.21,S,18.74,14.57,23.3,17.78
2015,9,      N,4.62,3.42,S,18.44,14.45,23.06,17.87
2008,9,      N,4.69,3.26,S,18.15,14.39,22.84,17.65
2012,8,      N,4.72,2.93,S,18.1,14.56,22.82,17.49
2018,9,      N,4.79,3.35,S,17.96,14.2,22.75,17.55
2017,9,      N,4.82,3.35,S,17.91,13.92,22.73,17.27
2010,9,      N,4.87,3.34,S,18.8,14.43,23.67,17.77
2021,9,      N,4.95,3.47,S,18.51,14.42,23.46,17.89
2019,8,      N,5.03,3.24,S,17.48,13.99,22.51,17.23
2020,8,      N,5.07,3.1,S,17.76,14.42,22.83,17.52
2013,9,      N,5.21,3.78,S,19.39,15.28,24.6,19.06
2014,9,      N,5.22,3.74,S,19.76,15.75,24.98,19.49
2009,9,      N,5.26,3.76,S,18.96,15.08,24.22,18.84
2020,10,      N,5.33,4.11,S,18.49,14.6,23.82,18.71
2007,8,      N,5.34,3.19,S,17.68,14.03,23.02,17.22
2016,8,      N,5.37,3.31,S,17.89,13.98,23.26,17.29
2017,8,      N,5.48,3.64,S,17.22,13.62,22.7,17.26
2005,9,      N,5.5,4.07,S,18.8,14.85,24.3,18.92
2011,8,      N,5.5,3.38,S,17.81,14.04,23.31,17.42
2015,8,      N,5.6,3.63,S,17.75,14.02,23.35,17.65
2018,8,      N,5.61,3.9,S,17.42,14.01,23.03,17.91
2021,8,      N,5.71,3.78,S,18.19,14.63,23.9,18.41
2019,10,      N,5.73,4.53,S,17.94,13.9,23.67,18.43
2002,9,      N,5.83,4.03,S,17.89,14.1,23.72,18.13
2006,9,      N,5.86,4.01,S,19.09,15.18,24.95,19.19
2010,8,      N,5.87,3.88,S,18.61,14.95,24.48,18.83
2012,10,      N,5.89,4.58,S,18.59,14.45,24.48,19.03
2008,8,      N,5.91,3.79,S,17.64,14.13,23.55,17.92
2004,9,      N,5.98,4.39,S,18.92,14.59,24.9,18.98
2022,8,      N,5.99,4.02,S,16.97,13.66,22.96,17.68
2013,8,      N,6.01,4.17,S,18.66,15.13,24.67,19.3
2007,10,      N,6.04,4.33,S,18.51,14.59,24.55,18.92
1995,9,      N,6.08,4.43,S,18.37,14.46,24.45,18.89
2014,8,      N,6.08,4.37,S,18.91,15.1,24.99,19.47
2016,10,      N,6.08,4.4,S,17.46,12.94,23.54,17.34
1999,9,      N,6.12,4.29,S,18.7,14.62,24.82,18.91
2003,9,      N,6.12,4.05,S,18.3,14.14,24.42,18.19
2018,10,      N,6.13,4.59,S,17.73,13.99,23.86,18.58
1990,9,      N,6.14,4.55,S,18.19,14.39,24.33,18.94
2009,8,      N,6.14,4.16,S,18.1,14.45,24.24,18.61
2000,9,      N,6.25,4.35,S,18.89,15.07,25.14,19.42
2005,8,      N,6.3,4.21,S,17.92,13.95,24.22,18.16
1993,9,      N,6.4,4.58,S,18.54,14.7,24.94,19.28
2011,10,      N,6.46,5.02,S,18.22,14.23,24.68,19.25
1991,9,      N,6.47,4.51,S,18.31,14.47,24.78,18.98
2006,8,      N,6.5,4.31,S,18.1,14.54,24.6,18.85
1998,9,      N,6.54,4.3,S,18.9,14.84,25.44,19.14
2002,8,      N,6.6,4.32,S,17.07,13.74,23.67,18.06
1997,9,      N,6.69,4.89,S,18.6,14.59,25.29,19.48
1985,9,      N,6.7,4.23,S,18.7,14.72,25.4,18.95
2001,9,      N,6.73,4.59,S,18.17,14.36,24.9,18.95
1995,8,      N,6.74,4.69,S,17.78,14.2,24.52,18.89
2017,10,      N,6.77,5.3,S,17.78,13.45,24.55,18.75
1990,8,      N,6.8,4.99,S,17.57,14.03,24.37,19.02
1984,9,      N,6.81,4.11,S,18.17,14.27,24.98,18.38
2021,10,      N,6.82,5.43,S,17.69,13.39,24.51,18.82
2004,8,      N,6.85,4.67,S,18.01,14.23,24.86,18.9
2009,10,      N,6.92,5.24,S,18.3,14.35,25.22,19.59
2003,8,      N,6.94,4.52,S,17.58,13.77,24.52,18.29
2015,10,      N,6.97,5.49,S,18.41,14.36,25.38,19.85
2010,10,      N,6.98,5.48,S,18.65,14.41,25.63,19.89
1989,9,      N,7.01,4.86,S,18.12,14.48,25.13,19.34
1979,9,      N,7.05,4.58,S,18.2,14.29,25.25,18.87
1981,9,      N,7.14,4.44,S,18.6,14.78,25.74,19.22
1994,9,      N,7.14,5.13,S,18.61,14.61,25.75,19.74
2000,8,      N,7.17,4.78,S,18.21,14.64,25.38,19.42
1999,8,      N,7.23,4.75,S,17.96,14.24,25.19,18.99
2014,10,      N,7.23,5.7,S,19,14.83,26.23,20.53
1987,9,      N,7.28,5.64,S,18.25,14.27,25.53,19.91
1997,8,      N,7.29,5.09,S,17.68,14.09,24.97,19.18
2020,7,      N,7.29,5.07,S,15.72,12.58,23.01,17.65
1982,9,      N,7.3,4.43,S,18.35,14.53,25.65,18.96
1993,8,      N,7.33,4.76,S,17.49,13.93,24.82,18.69
2005,10,      N,7.35,5.78,S,18.48,14.04,25.83,19.82
2008,10,      N,7.35,5.77,S,17.99,14.12,25.34,19.89
1988,9,      N,7.37,5.36,S,18.31,14.2,25.68,19.56
1983,9,      N,7.39,4.7,S,18.59,14.68,25.98,19.38
1985,8,      N,7.4,4.6,S,17.63,14.24,25.03,18.84
1986,9,      N,7.41,4.72,S,17.68,13.88,25.09,18.6
1991,8,      N,7.42,5.21,S,17.72,14.05,25.14,19.26
2013,10,      N,7.45,5.95,S,19.02,15.13,26.47,21.08
2001,8,      N,7.46,4.94,S,17.42,13.75,24.88,18.69
1992,9,      N,7.47,5.43,S,18.15,14.13,25.62,19.56
1998,8,      N,7.51,4.69,S,17.88,14.06,25.39,18.75
2006,10,      N,7.54,5.8,S,18.73,14.68,26.27,20.48
1996,9,      N,7.58,5.62,S,18.63,14.54,26.21,20.16
2019,7,      N,7.59,5.13,S,15.3,12.33,22.89,17.46
1987,8,      N,7.63,-9999,S,17.6,14.02,25.23,-9984.98
1994,8,      N,7.64,5.19,S,17.84,14.49,25.48,19.68
2021,7,      N,7.65,5.53,S,16.45,13.36,24.1,18.89
1980,9,      N,7.67,4.87,S,18.82,14.87,26.49,19.74
2012,7,      N,7.67,5.09,S,16.3,13.31,23.97,18.4
2011,7,      N,7.72,5.4,S,15.75,12.34,23.47,17.74
1984,8,      N,7.77,4.68,S,17.93,14.23,25.7,18.91
1995,10,      N,7.83,5.99,S,18.03,13.57,25.86,19.56
1981,8,      N,7.84,4.48,S,17.74,14.16,25.58,18.64
2003,10,      N,7.85,5.98,S,18.2,13.87,26.05,19.85
1989,8,      N,7.88,5.56,S,17.47,14.03,25.35,19.59
1988,8,      N,7.89,5.42,S,17.56,13.98,25.45,19.4
1992,8,      N,7.93,5.44,S,17.73,14.17,25.66,19.61
2004,10,      N,7.93,6.4,S,18.46,14.12,26.39,20.52
2007,7,      N,7.94,5.13,S,15.96,12.61,23.9,17.74
